Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2022,Male,17 years,Wicklow,Number,1168
Population,2022,Male,17 years,Wexford,Number,1204
Population,2022,Male,18 years,State,Number,33900
Population,2022,Male,18 years,Cork City and Cork County,Number,3803
Population,2022,Male,18 years,Clare,Number,860
Population,2022,Male,18 years,Cavan,Number,574
Population,2022,Male,18 years,Carlow,Number,437
Population,2022,Male,18 years,Dublin City,Number,3143
Population,2022,Male,18 years,Donegal,Number,1175
Population,2022,Male,18 years,Dún Laoghaire-Rathdown,Number,1427
Population,2022,Male,18 years,Fingal,Number,2221
Population,2022,Male,18 years,Galway City,Number,512
Population,2022,Male,18 years,Galway County,Number,1332
Population,2022,Male,18 years,Kildare,Number,1888
Population,2022,Male,18 years,Kilkenny,Number,715
Population,2022,Male,18 years,Kerry,Number,985
Population,2022,Male,18 years,Longford,Number,337
Population,2022,Male,18 years,Louth,Number,999
Population,2022,Male,18 years,Limerick City and County,Number,1396
Population,2022,Male,18 years,Leitrim,Number,229
Population,2022,Male,18 years,Laois,Number,665
Population,2022,Male,18 years,Meath,Number,1593
Population,2022,Male,18 years,Monaghan,Number,404
Population,2022,Male,18 years,Mayo,Number,873
Population,2022,Male,18 years,Offaly,Number,637
Population,2022,Male,18 years,Roscommon,Number,487
Population,2022,Male,18 years,South Dublin,Number,2022
Population,2022,Male,18 years,Sligo,Number,435
Population,2022,Male,18 years,Tipperary,Number,1089
Population,2022,Male,18 years,Waterford City and County,Number,882
Population,2022,Male,18 years,Westmeath,Number,641
Population,2022,Male,18 years,Wicklow,Number,997
Population,2022,Male,18 years,Wexford,Number,1142
Population,2022,Male,19 years,State,Number,32867
Population,2022,Male,19 years,Cork City and Cork County,Number,3933
Population,2022,Male,19 years,Clare,Number,829
Population,2022,Male,19 years,Cavan,Number,479
Population,2022,Male,19 years,Carlow,Number,446
Population,2022,Male,19 years,Dublin City,Number,3669
Population,2022,Male,19 years,Donegal,Number,930
Population,2022,Male,19 years,Dún Laoghaire-Rathdown,Number,1577
Population,2022,Male,19 years,Fingal,Number,2167
Population,2022,Male,19 years,Galway City,Number,758
Population,2022,Male,19 years,Galway County,Number,1212
Population,2022,Male,19 years,Kildare,Number,1744
Population,2022,Male,19 years,Kilkenny,Number,562
Population,2022,Male,19 years,Kerry,Number,880
Population,2022,Male,19 years,Longford,Number,287
Population,2022,Male,19 years,Louth,Number,894
Population,2022,Male,19 years,Limerick City and County,Number,1467
Population,2022,Male,19 years,Leitrim,Number,162
Population,2022,Male,19 years,Laois,Number,593
Population,2022,Male,19 years,Meath,Number,1507
Population,2022,Male,19 years,Monaghan,Number,412
Population,2022,Male,19 years,Mayo,Number,734
Population,2022,Male,19 years,Offaly,Number,545
Population,2022,Male,19 years,Roscommon,Number,373
Population,2022,Male,19 years,South Dublin,Number,2041
Population,2022,Male,19 years,Sligo,Number,419
Population,2022,Male,19 years,Tipperary,Number,930
Population,2022,Male,19 years,Waterford City and County,Number,826
Population,2022,Male,19 years,Westmeath,Number,585
Population,2022,Male,19 years,Wicklow,Number,965
Population,2022,Male,19 years,Wexford,Number,941
Population,2022,Male,20 years,State,Number,32120
Population,2022,Male,20 years,Cork City and Cork County,Number,3656
Population,2022,Male,20 years,Clare,Number,828
Population,2022,Male,20 years,Cavan,Number,455
Population,2022,Male,20 years,Carlow,Number,444
Population,2022,Male,20 years,Dublin City,Number,3777
Population,2022,Male,20 years,Donegal,Number,941
Population,2022,Male,20 years,Dún Laoghaire-Rathdown,Number,1535
Population,2022,Male,20 years,Fingal,Number,2080
Population,2022,Male,20 years,Galway City,Number,882
Population,2022,Male,20 years,Galway County,Number,1078
Population,2022,Male,20 years,Kildare,Number,1744
Population,2022,Male,20 years,Kilkenny,Number,560
Population,2022,Male,20 years,Kerry,Number,807
Population,2022,Male,20 years,Longford,Number,315
Population,2022,Male,20 years,Louth,Number,1037
Population,2022,Male,20 years,Limerick City and County,Number,1428
Population,2022,Male,20 years,Leitrim,Number,185
Population,2022,Male,20 years,Laois,Number,537
Population,2022,Male,20 years,Meath,Number,1454
Population,2022,Male,20 years,Monaghan,Number,349
Population,2022,Male,20 years,Mayo,Number,652
Population,2022,Male,20 years,Offaly,Number,504
Population,2022,Male,20 years,Roscommon,Number,375
Population,2022,Male,20 years,South Dublin,Number,1904
Population,2022,Male,20 years,Sligo,Number,427
Population,2022,Male,20 years,Tipperary,Number,970
Population,2022,Male,20 years,Waterford City and County,Number,794
Population,2022,Male,20 years,Westmeath,Number,562
Population,2022,Male,20 years,Wicklow,Number,908
Population,2022,Male,20 years,Wexford,Number,932
Population,2022,Male,21 years,State,Number,30771
Population,2022,Male,21 years,Cork City and Cork County,Number,3538
Population,2022,Male,21 years,Clare,Number,655
Population,2022,Male,21 years,Cavan,Number,442
Population,2022,Male,21 years,Carlow,Number,432
Population,2022,Male,21 years,Dublin City,Number,3903
Population,2022,Male,21 years,Donegal,Number,887
Population,2022,Male,21 years,Dún Laoghaire-Rathdown,Number,1480
Population,2022,Male,21 years,Fingal,Number,1959
Population,2022,Male,21 years,Galway City,Number,923
Population,2022,Male,21 years,Galway County,Number,1010
Population,2022,Male,21 years,Kildare,Number,1587
Population,2022,Male,21 years,Kilkenny,Number,574
Population,2022,Male,21 years,Kerry,Number,756
Population,2022,Male,21 years,Longford,Number,274
Population,2022,Male,21 years,Louth,Number,897
Population,2022,Male,21 years,Limerick City and County,Number,1343
Population,2022,Male,21 years,Leitrim,Number,146
Population,2022,Male,21 years,Laois,Number,534
Population,2022,Male,21 years,Meath,Number,1330
Population,2022,Male,21 years,Monaghan,Number,351
Population,2022,Male,21 years,Mayo,Number,629
Population,2022,Male,21 years,Offaly,Number,466
Population,2022,Male,21 years,Roscommon,Number,343
Population,2022,Male,21 years,South Dublin,Number,1900
Population,2022,Male,21 years,Sligo,Number,449
Population,2022,Male,21 years,Tipperary,Number,939
Population,2022,Male,21 years,Waterford City and County,Number,772
Population,2022,Male,21 years,Westmeath,Number,572
Population,2022,Male,21 years,Wicklow,Number,879
Population,2022,Male,21 years,Wexford,Number,801
Population,2022,Male,22 years,State,Number,31450
Population,2022,Male,22 years,Cork City and Cork County,Number,3674
Population,2022,Male,22 years,Clare,Number,775
Population,2022,Male,22 years,Cavan,Number,441
Population,2022,Male,22 years,Carlow,Number,408
Population,2022,Male,22 years,Dublin City,Number,4372
Population,2022,Male,22 years,Donegal,Number,870
Population,2022,Male,22 years,Dún Laoghaire-Rathdown,Number,1607
Population,2022,Male,22 years,Fingal,Number,1983
Population,2022,Male,22 years,Galway City,Number,895
Population,2022,Male,22 years,Galway County,Number,928
Population,2022,Male,22 years,Kildare,Number,1510
Population,2022,Male,22 years,Kilkenny,Number,555
Population,2022,Male,22 years,Kerry,Number,790
Population,2022,Male,22 years,Longford,Number,259
Population,2022,Male,22 years,Louth,Number,852
Population,2022,Male,22 years,Limerick City and County,Number,1478
Population,2022,Male,22 years,Leitrim,Number,170
Population,2022,Male,22 years,Laois,Number,517
Population,2022,Male,22 years,Meath,Number,1314
Population,2022,Male,22 years,Monaghan,Number,352
Population,2022,Male,22 years,Mayo,Number,624
Population,2022,Male,22 years,Offaly,Number,502
Population,2022,Male,22 years,Roscommon,Number,347
Population,2022,Male,22 years,South Dublin,Number,1873
Population,2022,Male,22 years,Sligo,Number,411
Population,2022,Male,22 years,Tipperary,Number,909
Population,2022,Male,22 years,Waterford City and County,Number,751
Population,2022,Male,22 years,Westmeath,Number,535
Population,2022,Male,22 years,Wicklow,Number,870
Population,2022,Male,22 years,Wexford,Number,878
Population,2022,Male,23 years,State,Number,30871
Population,2022,Male,23 years,Cork City and Cork County,Number,3506
Population,2022,Male,23 years,Clare,Number,632
Population,2022,Male,23 years,Cavan,Number,436
Population,2022,Male,23 years,Carlow,Number,376
Population,2022,Male,23 years,Dublin City,Number,4839
Population,2022,Male,23 years,Donegal,Number,809
Population,2022,Male,23 years,Dún Laoghaire-Rathdown,Number,1566
Population,2022,Male,23 years,Fingal,Number,1926
Population,2022,Male,23 years,Galway City,Number,795
Population,2022,Male,23 years,Galway County,Number,907
Population,2022,Male,23 years,Kildare,Number,1469
Population,2022,Male,23 years,Kilkenny,Number,523
Population,2022,Male,23 years,Kerry,Number,834
Population,2022,Male,23 years,Longford,Number,266
Population,2022,Male,23 years,Louth,Number,812
Population,2022,Male,23 years,Limerick City and County,Number,1351
Population,2022,Male,23 years,Leitrim,Number,177
Population,2022,Male,23 years,Laois,Number,503
Population,2022,Male,23 years,Meath,Number,1257
Population,2022,Male,23 years,Monaghan,Number,360
Population,2022,Male,23 years,Mayo,Number,619
Population,2022,Male,23 years,Offaly,Number,453
Population,2022,Male,23 years,Roscommon,Number,336
Population,2022,Male,23 years,South Dublin,Number,1899
Population,2022,Male,23 years,Sligo,Number,365
Population,2022,Male,23 years,Tipperary,Number,866
Population,2022,Male,23 years,Waterford City and County,Number,740
Population,2022,Male,23 years,Westmeath,Number,584
Population,2022,Male,23 years,Wicklow,Number,811
Population,2022,Male,23 years,Wexford,Number,854
Population,2022,Male,24 years,State,Number,30234
Population,2022,Male,24 years,Cork City and Cork County,Number,3391
Population,2022,Male,24 years,Clare,Number,649
Population,2022,Male,24 years,Cavan,Number,429
Population,2022,Male,24 years,Carlow,Number,340
Population,2022,Male,24 years,Dublin City,Number,5137
Population,2022,Male,24 years,Donegal,Number,821
Population,2022,Male,24 years,Dún Laoghaire-Rathdown,Number,1508
Population,2022,Male,24 years,Fingal,Number,1818
Population,2022,Male,24 years,Galway City,Number,855
Population,2022,Male,24 years,Galway County,Number,899
Population,2022,Male,24 years,Kildare,Number,1340
Population,2022,Male,24 years,Kilkenny,Number,526
Population,2022,Male,24 years,Kerry,Number,750
Population,2022,Male,24 years,Longford,Number,239
Population,2022,Male,24 years,Louth,Number,737
Population,2022,Male,24 years,Limerick City and County,Number,1355
Population,2022,Male,24 years,Leitrim,Number,147
Population,2022,Male,24 years,Laois,Number,471
Population,2022,Male,24 years,Meath,Number,1170
Population,2022,Male,24 years,Monaghan,Number,376
Population,2022,Male,24 years,Mayo,Number,644
Population,2022,Male,24 years,Offaly,Number,437
Population,2022,Male,24 years,Roscommon,Number,285
Population,2022,Male,24 years,South Dublin,Number,1855
Population,2022,Male,24 years,Sligo,Number,373
Population,2022,Male,24 years,Tipperary,Number,842
Population,2022,Male,24 years,Waterford City and County,Number,711
Population,2022,Male,24 years,Westmeath,Number,567
Population,2022,Male,24 years,Wicklow,Number,725
Population,2022,Male,24 years,Wexford,Number,837
Population,2022,Male,25 years,State,Number,29969
Population,2022,Male,25 years,Cork City and Cork County,Number,3369
Population,2022,Male,25 years,Clare,Number,627
Population,2022,Male,25 years,Cavan,Number,438
Population,2022,Male,25 years,Carlow,Number,330
Population,2022,Male,25 years,Dublin City,Number,5634
Population,2022,Male,25 years,Donegal,Number,757
Population,2022,Male,25 years,Dún Laoghaire-Rathdown,Number,1532
Population,2022,Male,25 years,Fingal,Number,1831
Population,2022,Male,25 years,Galway City,Number,788
Population,2022,Male,25 years,Galway County,Number,802
Population,2022,Male,25 years,Kildare,Number,1344
Population,2022,Male,25 years,Kilkenny,Number,539
Population,2022,Male,25 years,Kerry,Number,755
Population,2022,Male,25 years,Longford,Number,210
Population,2022,Male,25 years,Louth,Number,750
Population,2022,Male,25 years,Limerick City and County,Number,1346
Population,2022,Male,25 years,Leitrim,Number,142
Population,2022,Male,25 years,Laois,Number,437
Population,2022,Male,25 years,Meath,Number,1073
Population,2022,Male,25 years,Monaghan,Number,316
Population,2022,Male,25 years,Mayo,Number,598
Population,2022,Male,25 years,Offaly,Number,424
Population,2022,Male,25 years,Roscommon,Number,312
Population,2022,Male,25 years,South Dublin,Number,1761
Population,2022,Male,25 years,Sligo,Number,359
Population,2022,Male,25 years,Tipperary,Number,844
Population,2022,Male,25 years,Waterford City and County,Number,654
Population,2022,Male,25 years,Westmeath,Number,517
Population,2022,Male,25 years,Wicklow,Number,687
Population,2022,Male,25 years,Wexford,Number,793
Population,2022,Male,26 years,State,Number,29376
Population,2022,Male,26 years,Cork City and Cork County,Number,3269
Population,2022,Male,26 years,Clare,Number,586
Population,2022,Male,26 years,Cavan,Number,402
Population,2022,Male,26 years,Carlow,Number,330
Population,2022,Male,26 years,Dublin City,Number,5732
Population,2022,Male,26 years,Donegal,Number,772
Population,2022,Male,26 years,Dún Laoghaire-Rathdown,Number,1537
Population,2022,Male,26 years,Fingal,Number,1841
Population,2022,Male,26 years,Galway City,Number,771
Population,2022,Male,26 years,Galway County,Number,842
Population,2022,Male,26 years,Kildare,Number,1235
Population,2022,Male,26 years,Kilkenny,Number,472
Population,2022,Male,26 years,Kerry,Number,711
Population,2022,Male,26 years,Longford,Number,250
Population,2022,Male,26 years,Louth,Number,676
Population,2022,Male,26 years,Limerick City and County,Number,1264
Population,2022,Male,26 years,Leitrim,Number,156
Population,2022,Male,26 years,Laois,Number,459
Population,2022,Male,26 years,Meath,Number,1008
Population,2022,Male,26 years,Monaghan,Number,324
Population,2022,Male,26 years,Mayo,Number,579
Population,2022,Male,26 years,Offaly,Number,409
Population,2022,Male,26 years,Roscommon,Number,316
Population,2022,Male,26 years,South Dublin,Number,1713
Population,2022,Male,26 years,Sligo,Number,316
Population,2022,Male,26 years,Tipperary,Number,768
Population,2022,Male,26 years,Waterford City and County,Number,641
Population,2022,Male,26 years,Westmeath,Number,527
Population,2022,Male,26 years,Wicklow,Number,667
Population,2022,Male,26 years,Wexford,Number,803
Population,2022,Male,27 years,State,Number,29162
Population,2022,Male,27 years,Cork City and Cork County,Number,3228
Population,2022,Male,27 years,Clare,Number,593
Population,2022,Male,27 years,Cavan,Number,380
Population,2022,Male,27 years,Carlow,Number,349
Population,2022,Male,27 years,Dublin City,Number,5965
Population,2022,Male,27 years,Donegal,Number,695
Population,2022,Male,27 years,Dún Laoghaire-Rathdown,Number,1471
Population,2022,Male,27 years,Fingal,Number,1809
Population,2022,Male,27 years,Galway City,Number,730
Population,2022,Male,27 years,Galway County,Number,672
Population,2022,Male,27 years,Kildare,Number,1294
Population,2022,Male,27 years,Kilkenny,Number,470
Population,2022,Male,27 years,Kerry,Number,713
Population,2022,Male,27 years,Longford,Number,230
Population,2022,Male,27 years,Louth,Number,697
Population,2022,Male,27 years,Limerick City and County,Number,1229
Population,2022,Male,27 years,Leitrim,Number,137
Population,2022,Male,27 years,Laois,Number,482
Population,2022,Male,27 years,Meath,Number,992
Population,2022,Male,27 years,Monaghan,Number,352
Population,2022,Male,27 years,Mayo,Number,556
Population,2022,Male,27 years,Offaly,Number,417
Population,2022,Male,27 years,Roscommon,Number,275
Population,2022,Male,27 years,South Dublin,Number,1745
Population,2022,Male,27 years,Sligo,Number,337
Population,2022,Male,27 years,Tipperary,Number,775
Population,2022,Male,27 years,Waterford City and County,Number,639
Population,2022,Male,27 years,Westmeath,Number,505
Population,2022,Male,27 years,Wicklow,Number,682
Population,2022,Male,27 years,Wexford,Number,743
Population,2022,Male,28 years,State,Number,28902
Population,2022,Male,28 years,Cork City and Cork County,Number,3226
Population,2022,Male,28 years,Clare,Number,580
Population,2022,Male,28 years,Cavan,Number,389
Population,2022,Male,28 years,Carlow,Number,304
Population,2022,Male,28 years,Dublin City,Number,5931
Population,2022,Male,28 years,Donegal,Number,714
Population,2022,Male,28 years,Dún Laoghaire-Rathdown,Number,1412
Population,2022,Male,28 years,Fingal,Number,1772
Population,2022,Male,28 years,Galway City,Number,704
Population,2022,Male,28 years,Galway County,Number,784
Population,2022,Male,28 years,Kildare,Number,1226
Population,2022,Male,28 years,Kilkenny,Number,480
Population,2022,Male,28 years,Kerry,Number,666
Population,2022,Male,28 years,Longford,Number,224
Population,2022,Male,28 years,Louth,Number,739
Population,2022,Male,28 years,Limerick City and County,Number,1153
Population,2022,Male,28 years,Leitrim,Number,143
Population,2022,Male,28 years,Laois,Number,441
Population,2022,Male,28 years,Meath,Number,1021
Population,2022,Male,28 years,Monaghan,Number,309
Population,2022,Male,28 years,Mayo,Number,598
Population,2022,Male,28 years,Offaly,Number,404
Population,2022,Male,28 years,Roscommon,Number,297
Population,2022,Male,28 years,South Dublin,Number,1741
Population,2022,Male,28 years,Sligo,Number,310
Population,2022,Male,28 years,Tipperary,Number,809
Population,2022,Male,28 years,Waterford City and County,Number,607
Population,2022,Male,28 years,Westmeath,Number,471
Population,2022,Male,28 years,Wicklow,Number,707
Population,2022,Male,28 years,Wexford,Number,740
Population,2022,Male,29 years,State,Number,29989
Population,2022,Male,29 years,Cork City and Cork County,Number,3320
Population,2022,Male,29 years,Clare,Number,605
Population,2022,Male,29 years,Cavan,Number,390
Population,2022,Male,29 years,Carlow,Number,353
Population,2022,Male,29 years,Dublin City,Number,6102
Population,2022,Male,29 years,Donegal,Number,754
Population,2022,Male,29 years,Dún Laoghaire-Rathdown,Number,1431
Population,2022,Male,29 years,Fingal,Number,1824
Population,2022,Male,29 years,Galway City,Number,737
Population,2022,Male,29 years,Galway County,Number,847
Population,2022,Male,29 years,Kildare,Number,1329
Population,2022,Male,29 years,Kilkenny,Number,530
Population,2022,Male,29 years,Kerry,Number,706
Population,2022,Male,29 years,Longford,Number,205
Population,2022,Male,29 years,Louth,Number,708
Population,2022,Male,29 years,Limerick City and County,Number,1230
Population,2022,Male,29 years,Leitrim,Number,156
Population,2022,Male,29 years,Laois,Number,448
Population,2022,Male,29 years,Meath,Number,1091
Population,2022,Male,29 years,Monaghan,Number,330
Population,2022,Male,29 years,Mayo,Number,599
Population,2022,Male,29 years,Offaly,Number,411
Population,2022,Male,29 years,Roscommon,Number,314
Population,2022,Male,29 years,South Dublin,Number,1786
Population,2022,Male,29 years,Sligo,Number,327
Population,2022,Male,29 years,Tipperary,Number,823
Population,2022,Male,29 years,Waterford City and County,Number,622
Population,2022,Male,29 years,Westmeath,Number,555
Population,2022,Male,29 years,Wicklow,Number,696
Population,2022,Male,29 years,Wexford,Number,760
Population,2022,Male,30 years,State,Number,30858
Population,2022,Male,30 years,Cork City and Cork County,Number,3375
Population,2022,Male,30 years,Clare,Number,582
Population,2022,Male,30 years,Cavan,Number,416
Population,2022,Male,30 years,Carlow,Number,367
Population,2022,Male,30 years,Dublin City,Number,6163
Population,2022,Male,30 years,Donegal,Number,788
Population,2022,Male,30 years,Dún Laoghaire-Rathdown,Number,1511
Population,2022,Male,30 years,Fingal,Number,1888
Population,2022,Male,30 years,Galway City,Number,677
Population,2022,Male,30 years,Galway County,Number,813
Population,2022,Male,30 years,Kildare,Number,1372
Population,2022,Male,30 years,Kilkenny,Number,513
Population,2022,Male,30 years,Kerry,Number,792
Population,2022,Male,30 years,Longford,Number,263
Population,2022,Male,30 years,Louth,Number,769
Population,2022,Male,30 years,Limerick City and County,Number,1250
Population,2022,Male,30 years,Leitrim,Number,164
Population,2022,Male,30 years,Laois,Number,470
Population,2022,Male,30 years,Meath,Number,1097
Population,2022,Male,30 years,Monaghan,Number,382
Population,2022,Male,30 years,Mayo,Number,657
Population,2022,Male,30 years,Offaly,Number,447
Population,2022,Male,30 years,Roscommon,Number,315
Population,2022,Male,30 years,South Dublin,Number,1819
Population,2022,Male,30 years,Sligo,Number,334
Population,2022,Male,30 years,Tipperary,Number,827
Population,2022,Male,30 years,Waterford City and County,Number,719
Population,2022,Male,30 years,Westmeath,Number,523
Population,2022,Male,30 years,Wicklow,Number,688
Population,2022,Male,30 years,Wexford,Number,877
Population,2022,Male,31 years,State,Number,32237
Population,2022,Male,31 years,Cork City and Cork County,Number,3492
Population,2022,Male,31 years,Clare,Number,623
Population,2022,Male,31 years,Cavan,Number,450
Population,2022,Male,31 years,Carlow,Number,349
Population,2022,Male,31 years,Dublin City,Number,6287
Population,2022,Male,31 years,Donegal,Number,831
Population,2022,Male,31 years,Dún Laoghaire-Rathdown,Number,1510
Population,2022,Male,31 years,Fingal,Number,2061
Population,2022,Male,31 years,Galway City,Number,759
Population,2022,Male,31 years,Galway County,Number,958
Population,2022,Male,31 years,Kildare,Number,1396
Population,2022,Male,31 years,Kilkenny,Number,599
Population,2022,Male,31 years,Kerry,Number,772
Population,2022,Male,31 years,Longford,Number,232
Population,2022,Male,31 years,Louth,Number,796
Population,2022,Male,31 years,Limerick City and County,Number,1205
Population,2022,Male,31 years,Leitrim,Number,155
Population,2022,Male,31 years,Laois,Number,509
Population,2022,Male,31 years,Meath,Number,1252
Population,2022,Male,31 years,Monaghan,Number,355
Population,2022,Male,31 years,Mayo,Number,719
Population,2022,Male,31 years,Offaly,Number,443
Population,2022,Male,31 years,Roscommon,Number,343
Population,2022,Male,31 years,South Dublin,Number,1898
Population,2022,Male,31 years,Sligo,Number,334
Population,2022,Male,31 years,Tipperary,Number,867
Population,2022,Male,31 years,Waterford City and County,Number,712
Population,2022,Male,31 years,Westmeath,Number,602
Population,2022,Male,31 years,Wicklow,Number,783
Population,2022,Male,31 years,Wexford,Number,945
Population,2022,Male,32 years,State,Number,32413
Population,2022,Male,32 years,Cork City and Cork County,Number,3518
Population,2022,Male,32 years,Clare,Number,642
Population,2022,Male,32 years,Cavan,Number,466
Population,2022,Male,32 years,Carlow,Number,362
Population,2022,Male,32 years,Dublin City,Number,6080
Population,2022,Male,32 years,Donegal,Number,927
Population,2022,Male,32 years,Dún Laoghaire-Rathdown,Number,1516
Population,2022,Male,32 years,Fingal,Number,2088
Population,2022,Male,32 years,Galway City,Number,655
Population,2022,Male,32 years,Galway County,Number,907
Population,2022,Male,32 years,Kildare,Number,1462
Population,2022,Male,32 years,Kilkenny,Number,578
Population,2022,Male,32 years,Kerry,Number,854
Population,2022,Male,32 years,Longford,Number,267
Population,2022,Male,32 years,Louth,Number,782
Population,2022,Male,32 years,Limerick City and County,Number,1316
Population,2022,Male,32 years,Leitrim,Number,163
Population,2022,Male,32 years,Laois,Number,559
Population,2022,Male,32 years,Meath,Number,1254
Population,2022,Male,32 years,Monaghan,Number,341
Population,2022,Male,32 years,Mayo,Number,667
Population,2022,Male,32 years,Offaly,Number,447
Population,2022,Male,32 years,Roscommon,Number,381
Population,2022,Male,32 years,South Dublin,Number,1887
Population,2022,Male,32 years,Sligo,Number,361
Population,2022,Male,32 years,Tipperary,Number,867
Population,2022,Male,32 years,Waterford City and County,Number,771
Population,2022,Male,32 years,Westmeath,Number,562
Population,2022,Male,32 years,Wicklow,Number,827
Population,2022,Male,32 years,Wexford,Number,906
Population,2022,Male,33 years,State,Number,31888
Population,2022,Male,33 years,Cork City and Cork County,Number,3543
Population,2022,Male,33 years,Clare,Number,643
Population,2022,Male,33 years,Cavan,Number,466
Population,2022,Male,33 years,Carlow,Number,366
Population,2022,Male,33 years,Dublin City,Number,5734
Population,2022,Male,33 years,Donegal,Number,868
Population,2022,Male,33 years,Dún Laoghaire-Rathdown,Number,1442
Population,2022,Male,33 years,Fingal,Number,2157
Population,2022,Male,33 years,Galway City,Number,594
Population,2022,Male,33 years,Galway County,Number,996
Population,2022,Male,33 years,Kildare,Number,1522
Population,2022,Male,33 years,Kilkenny,Number,563
Population,2022,Male,33 years,Kerry,Number,755
Population,2022,Male,33 years,Longford,Number,261
Population,2022,Male,33 years,Louth,Number,814
Population,2022,Male,33 years,Limerick City and County,Number,1310
Population,2022,Male,33 years,Leitrim,Number,173
Population,2022,Male,33 years,Laois,Number,538
Population,2022,Male,33 years,Meath,Number,1253
Population,2022,Male,33 years,Monaghan,Number,300
Population,2022,Male,33 years,Mayo,Number,761
Population,2022,Male,33 years,Offaly,Number,444
Population,2022,Male,33 years,Roscommon,Number,359
Population,2022,Male,33 years,South Dublin,Number,1895
Population,2022,Male,33 years,Sligo,Number,321
Population,2022,Male,33 years,Tipperary,Number,884
Population,2022,Male,33 years,Waterford City and County,Number,686
Population,2022,Male,33 years,Westmeath,Number,582
Population,2022,Male,33 years,Wicklow,Number,837
Population,2022,Male,33 years,Wexford,Number,821
Population,2022,Male,34 years,State,Number,33121
Population,2022,Male,34 years,Cork City and Cork County,Number,3674
Population,2022,Male,34 years,Clare,Number,714
Population,2022,Male,34 years,Cavan,Number,475
Population,2022,Male,34 years,Carlow,Number,360
Population,2022,Male,34 years,Dublin City,Number,5503
Population,2022,Male,34 years,Donegal,Number,946
Population,2022,Male,34 years,Dún Laoghaire-Rathdown,Number,1488
Population,2022,Male,34 years,Fingal,Number,2188
Population,2022,Male,34 years,Galway City,Number,611
Population,2022,Male,34 years,Galway County,Number,1056
Population,2022,Male,34 years,Kildare,Number,1563
Population,2022,Male,34 years,Kilkenny,Number,594
Population,2022,Male,34 years,Kerry,Number,817
Population,2022,Male,34 years,Longford,Number,291
Population,2022,Male,34 years,Louth,Number,890
Population,2022,Male,34 years,Limerick City and County,Number,1314
Population,2022,Male,34 years,Leitrim,Number,192
Population,2022,Male,34 years,Laois,Number,548
Population,2022,Male,34 years,Meath,Number,1350
Population,2022,Male,34 years,Monaghan,Number,422
Population,2022,Male,34 years,Mayo,Number,778
Population,2022,Male,34 years,Offaly,Number,503
Population,2022,Male,34 years,Roscommon,Number,383
Population,2022,Male,34 years,South Dublin,Number,2040
Population,2022,Male,34 years,Sligo,Number,370
Population,2022,Male,34 years,Tipperary,Number,939
Population,2022,Male,34 years,Waterford City and County,Number,711
Population,2022,Male,34 years,Westmeath,Number,575
Population,2022,Male,34 years,Wicklow,Number,865
Population,2022,Male,34 years,Wexford,Number,961
Population,2022,Male,35 years,State,Number,34695
Population,2022,Male,35 years,Cork City and Cork County,Number,3868
Population,2022,Male,35 years,Clare,Number,729
Population,2022,Male,35 years,Cavan,Number,519
Population,2022,Male,35 years,Carlow,Number,387
Population,2022,Male,35 years,Dublin City,Number,5488
Population,2022,Male,35 years,Donegal,Number,959
Population,2022,Male,35 years,Dún Laoghaire-Rathdown,Number,1506
Population,2022,Male,35 years,Fingal,Number,2321
Population,2022,Male,35 years,Galway City,Number,610
Population,2022,Male,35 years,Galway County,Number,1139
Population,2022,Male,35 years,Kildare,Number,1722
Population,2022,Male,35 years,Kilkenny,Number,634
Population,2022,Male,35 years,Kerry,Number,860
Population,2022,Male,35 years,Longford,Number,296
Population,2022,Male,35 years,Louth,Number,868
Population,2022,Male,35 years,Limerick City and County,Number,1404
Population,2022,Male,35 years,Leitrim,Number,216
Population,2022,Male,35 years,Laois,Number,655
Population,2022,Male,35 years,Meath,Number,1504
Population,2022,Male,35 years,Monaghan,Number,406
Population,2022,Male,35 years,Mayo,Number,821
Population,2022,Male,35 years,Offaly,Number,546
Population,2022,Male,35 years,Roscommon,Number,420
Population,2022,Male,35 years,South Dublin,Number,2054
Population,2022,Male,35 years,Sligo,Number,399
Population,2022,Male,35 years,Tipperary,Number,982
Population,2022,Male,35 years,Waterford City and County,Number,807
Population,2022,Male,35 years,Westmeath,Number,666
Population,2022,Male,35 years,Wicklow,Number,923
Population,2022,Male,35 years,Wexford,Number,986
Population,2022,Male,36 years,State,Number,35828
Population,2022,Male,36 years,Cork City and Cork County,Number,3899
Population,2022,Male,36 years,Clare,Number,765
Population,2022,Male,36 years,Cavan,Number,549
Population,2022,Male,36 years,Carlow,Number,397
Population,2022,Male,36 years,Dublin City,Number,5401
Population,2022,Male,36 years,Donegal,Number,1005
Population,2022,Male,36 years,Dún Laoghaire-Rathdown,Number,1511
Population,2022,Male,36 years,Fingal,Number,2484
Population,2022,Male,36 years,Galway City,Number,625
Population,2022,Male,36 years,Galway County,Number,1193
Population,2022,Male,36 years,Kildare,Number,1733
Population,2022,Male,36 years,Kilkenny,Number,625
Population,2022,Male,36 years,Kerry,Number,992
Population,2022,Male,36 years,Longford,Number,331
Population,2022,Male,36 years,Louth,Number,946
Population,2022,Male,36 years,Limerick City and County,Number,1419
Population,2022,Male,36 years,Leitrim,Number,211
Population,2022,Male,36 years,Laois,Number,667
